Phi [degrees],Normalized Frequency
-176.39985100129422,6.417383540251883e-08
-169.19985708287402,6.392960593973819e-08
-161.99986316445387,6.417319938829284e-08
-154.7998692460337,6.422280849792043e-08
-147.59987532761352,6.426033333725364e-08
-140.39988140919337,6.409178956736597e-08
-133.19988749077316,6.407270914058622e-08
-125.999893572353,6.402373604518489e-08
-118.79989965393284,6.393405803932026e-08
-111.59990573551266,6.376551426943245e-08
-104.39991181709249,6.382275554977166e-08
-97.19991789867231,6.40332762585749e-08
-89.99992398025215,6.388762900082276e-08
-82.79993006183197,6.328977562839098e-08
-75.59993614341181,6.368219640582771e-08
-68.39994222499163,6.407843326862015e-08
-61.19994830657146,6.361859498322847e-08
-53.99995438815129,6.395441049455198e-08
-46.79996046973112,6.360269462757868e-08
-39.59996655131094,6.405362871380648e-08
-32.399972632890766,6.451664707032812e-08
-25.19997871447059,6.441234073726556e-08
-17.999984796050427,6.405362871380675e-08
-10.799990877630265,6.471635553728938e-08
-3.599996959210088,6.40816133397501e-08
3.599996959210088,6.405108465690253e-08
10.799990877630265,6.41185021648576e-08
17.99998479605044,6.355117747527338e-08
25.199978714470603,6.419227981507285e-08
32.399972632890766,6.344369107108086e-08
39.59996655131094,6.404345248619062e-08
46.79996046973112,6.419609590042853e-08
53.999954388151295,6.443269319249728e-08
61.19994830657147,6.466801845611405e-08
68.39994222499165,6.515266129631939e-08
75.59993614341181,6.498538955488396e-08
82.79993006183199,6.476787268959443e-08
89.99992398025216,6.498729759756194e-08
97.19991789867231,6.550374114906684e-08
104.39991181709249,6.49300563172222e-08
111.59990573551266,6.509096791639851e-08
118.79989965393284,6.516474556661298e-08
125.99989357235302,6.493705247370861e-08
133.1998874907732,6.47621485615605e-08
140.39988140919337,6.460950514732312e-08
147.59987532761352,6.45160110561024e-08
154.7998692460337,6.499683781095129e-08
161.99986316445387,6.500828606701964e-08
169.19985708287405,6.436018757073402e-08
176.39985100129422,6.410196579498208e-08
