EventID	TrackID	nPhotons	Px	Py	Pz	KineticEnergy	Hits
1	1	163890	-41.5823	295.792	-647.383	615.099	4
2	1	259015	-740.796	-1087.92	-2749.38	2944.36	5
3	1	259015	732.153	546.38	-1706.36	1832.75	0
4	1	259015	3929.32	-2453.2	-3483.99	5691.5	0
5	1	453726	-997.333	3009.19	-3644.58	4725.91	9
6	1	793876	381.906	215.07	-654.308	688.942	18
7	1	1207946	1962.49	-329.143	-5364.95	5617.41	16
8	1	1660519	900.196	-154.082	-2980.9	3013.8	20
9	1	1980722	16.9946	-499.54	-1278.85	1271.46	24
10	1	1980722	180.606	75.4666	-675.758	605.767	0
11	1	2329016	-1020.89	-928.309	-1154.55	1696.6	23
12	1	2834259	-619.703	-384.272	-919.624	1072.72	24
13	1	2891211	-583.703	-153.514	-701.965	826.111	2
14	1	3095808	895.012	1757.2	-3664.96	4057.5	7
15	1	3203405	-76.8809	105.905	-160.629	126.919	5
16	1	3268805	-1549.04	156.187	-3297.66	3542.58	2
17	1	3730218	719.5	-813.627	-1685.7	1902.43	17
18	1	4098186	1444.5	-844.816	-1992.85	2498.74	18
19	1	4528474	304.608	-351.633	-739.562	774.426	19
20	1	4977098	857.373	-1414.68	-1469.58	2109.57	27
21	1	5049126	1040.81	-2473.11	-2381.08	3483.25	5
22	1	5086127	-455.16	169.077	-1220.41	1212.04	0
23	1	5205445	470.366	-1028.23	-1524	1794.93	7
24	1	5595213	-388.58	354.964	-1717.82	1694.08	15
25	1	5595213	-1064.3	-101.462	-4625.51	4642.98	0
26	1	5765359	-533.719	-177.035	-539.456	680.709	6
27	1	5873504	-0.395281	-64.1869	-216.941	144.036	5
28	1	6310815	-1140.86	684.878	-2950.42	3132.67	20
29	1	6707688	-749.67	316.142	-2360.57	2393.42	21
30	1	6803616	-644.427	603.594	-2185.01	2253.38	4
31	1	7340603	2394.25	845.553	-3855.15	4511.78	17
32	1	7340603	1118.45	279.383	-1567.05	1842.62	0
