EventID	nPhotons	Hits	DepositedEnergy
0	209095	10	3.8332e-05
1	655506	21	8.48561e-05
2	956282	25	9.95277e-05
3	1227351	9	3.41351e-05
4	1559785	22	8.14418e-05
5	1918407	15	5.86467e-05
6	2113792	9	3.13661e-05
7	2332589	14	5.62949e-05
8	2377688	3	7.82827e-06
9	2838123	18	7.04932e-05
10	3187259	20	7.78796e-05
11	3576566	32	0.00012297
12	3778621	9	2.17451e-05
13	4224709	22	7.86979e-05
14	4271909	1	3.56994e-06
15	4671590	26	9.35495e-05
16	4820798	7	3.38399e-05
17	5021245	9	3.10163e-05
18	5244206	7	2.8342e-05
19	5290033	2	1.0954e-05
20	5541206	20	8.04609e-05
21	5837321	14	5.28633e-05
22	5995770	4	9.48877e-06
23	6232466	14	5.13174e-05
24	6391869	4	1.65449e-05
25	6831968	14	6.03275e-05
26	7222755	21	7.57951e-05
27	7455399	19	7.59019e-05
28	7789455	14	5.32567e-05
29	8060417	14	6.03654e-05
30	8068772	0	0
31	8135018	5	1.75315e-05
32	8199166	0	0
33	8288778	2	5.67352e-06
34	8551721	11	4.92283e-05
35	8814539	17	6.85335e-05
36	9088822	15	6.45768e-05
37	9142518	4	1.72228e-05
38	9384923	21	7.55391e-05
39	9435670	1	2.1674e-06
40	9801452	28	0.000103752
41	10042793	14	4.8856e-05
42	10152144	5	1.85289e-05
43	10526829	23	9.82039e-05
44	10779600	15	5.478e-05
45	10802756	0	0
46	10914199	9	4.15662e-05
47	11158242	14	4.5185e-05
48	11687176	29	0.000125301
49	11731868	3	1.30431e-05
50	11959017	10	3.9867e-05
51	12363739	26	8.64238e-05
52	12838558	27	8.54423e-05
53	13233572	15	4.27437e-05
54	13550100	19	7.64239e-05
55	13930158	21	7.08154e-05
56	14176010	16	5.00486e-05
57	14239847	1	1.45023e-06
58	14481205	17	6.37899e-05
59	14825399	25	0.000104712
60	15031421	11	3.94112e-05
61	15230533	5	2.59232e-05
62	15632327	31	0.000123082
63	15999818	20	8.00588e-05
64	16379598	13	4.30479e-05
65	16694665	20	7.23661e-05
66	17014918	14	5.16366e-05
67	17434387	29	0.0001098
68	17973874	44	0.000138056
69	18278752	9	4.16982e-05
70	18678668	23	9.57486e-05
71	19124079	21	8.2906e-05
72	19419469	9	2.98046e-05
73	19873668	19	6.53469e-05
74	20125859	12	4.07307e-05
75	20384281	10	3.93893e-05
76	20444979	1	4.30037e-06
77	20729118	21	8.01803e-05
78	21071957	25	0.00010526
79	21482027	67	0.000256758
80	21936340	16	4.93863e-05
81	22130814	12	5.08705e-05
82	22269923	9	4.25144e-05
83	22465093	10	4.22385e-05
84	22675479	8	3.14392e-05
85	23035184	24	9.1241e-05
86	23419398	25	0.000100854
87	23609581	10	3.65541e-05
88	23631345	1	3.85935e-06
89	23991314	27	9.65873e-05
90	24185958	4	2.00944e-05
91	24291384	5	2.46426e-05
92	24618403	10	4.70911e-05
93	25200422	25	0.00010347
94	25488333	21	6.36319e-05
95	25822143	19	5.81855e-05
96	25895872	1	5.39575e-06
97	26294676	81	0.000254278
98	26719433	37	0.000143455
99	27093446	28	0.000100299
