EventID	nPhotons	Hits	DepositedEnergy
0	245569	32	7.2162e-05
1	252788	0	0
2	376772	8	1.30041e-05
3	784929	32	5.38611e-05
4	897856	4	9.94975e-06
5	1087381	8	1.79421e-05
6	1385080	30	5.43915e-05
7	1828201	48	7.78161e-05
8	2012484	16	3.34132e-05
9	2318728	126	0.000209412
10	2385928	4	6.68776e-06
11	2758722	90	0.000175955
12	3007176	24	4.54593e-05
13	3223671	12	2.54071e-05
14	3619573	42	6.81289e-05
15	3959268	38	7.79161e-05
16	4266176	34	5.60566e-05
17	4326535	2	5.07462e-06
18	4697330	36	7.2129e-05
19	4803938	8	1.64508e-05
20	5177377	58	0.000120829
21	5515648	24	4.44611e-05
22	5830367	48	9.46477e-05
23	6128286	40	7.49429e-05
24	6558809	52	9.22476e-05
25	7063431	56	9.47623e-05
26	7471114	46	8.43389e-05
27	7887585	66	0.000133762
28	8226948	54	0.000102432
29	8274452	1002	0.00197909
30	8422077	10	2.12326e-05
31	8682255	28	5.93031e-05
32	8948036	28	6.45088e-05
33	9081284	22	4.39548e-05
34	9314328	16	3.28671e-05
35	9525440	24	3.45602e-05
36	9846528	26	4.84043e-05
37	10269003	26	4.84544e-05
38	10671861	60	0.000112742
39	10803346	8	1.59202e-05
40	11140141	50	0.000100441
41	11535734	56	0.000104483
42	11789115	22	3.98416e-05
43	12179712	38	5.26393e-05
44	12531984	64	0.000125526
45	12701610	18	4.08578e-05
46	13100422	56	9.18689e-05
47	13113227	0	0
48	13642783	56	8.95571e-05
49	13674958	2	2.37473e-06
50	13812210	6	1.45263e-05
51	13857986	12	2.1239e-05
52	14216429	30	5.93476e-05
53	14596857	42	7.31891e-05
54	14616863	0	0
55	14921249	36	6.56151e-05
56	14923816	0	0
57	15331274	38	6.96303e-05
58	15806086	50	0.000104392
59	15870619	2	3.86584e-06
60	16156696	28	5.72238e-05
61	16340638	12	1.84203e-05
62	16559740	26	4.92028e-05
63	16690796	6	1.21738e-05
64	17109883	268	0.000425022
65	17247894	20	3.5158e-05
66	17365959	6	1.28451e-05
67	17637954	26	4.78591e-05
68	17895620	26	4.89373e-05
69	18155292	42	9.08014e-05
70	18627016	68	0.000143099
71	18850399	10	1.50014e-05
72	19227649	48	8.74106e-05
73	19605845	48	9.11043e-05
74	20030095	44	9.55861e-05
75	20201132	34	7.09204e-05
76	20615280	38	6.81636e-05
77	20927658	38	7.91688e-05
78	21169619	18	3.17089e-05
79	21265717	12	3.11387e-05
80	21416124	18	3.28809e-05
81	21801043	34	6.76817e-05
82	22068675	88	0.000171017
83	22393984	36	7.26921e-05
84	22459786	6	1.0502e-05
85	22864775	56	0.000112976
86	22892158	1002	0.0013357
87	23357075	44	8.52488e-05
88	23644341	34	6.34067e-05
89	24065919	28	5.48363e-05
90	24403550	42	8.77422e-05
91	24454629	1002	0.00189218
92	24827818	82	0.000169088
93	25061297	34	5.87389e-05
94	25435948	72	0.00011723
95	25867061	50	8.59858e-05
96	26217653	48	8.97936e-05
97	26562769	32	6.9044e-05
98	26887103	30	4.95072e-05
99	27120810	20	4.02484e-05
100	27356519	14	2.43163e-05
101	27552338	26	5.21273e-05
102	27569182	2	4.82836e-06
103	27794029	22	4.27557e-05
104	28237397	54	0.000112642
105	28652774	50	0.000100396
106	28653523	0	0
107	29003233	52	7.28659e-05
108	29450494	54	0.000102618
109	29621012	18	3.28812e-05
110	29875034	20	3.49345e-05
111	30160513	28	5.25869e-05
112	30261058	2	5.58469e-06
113	30532103	26	5.4488e-05
114	30933546	46	9.83454e-05
115	31268082	60	0.000123682
116	31642842	134	0.000243034
117	31908334	32	5.26886e-05
118	32305619	54	0.000105662
119	32634430	86	0.000153548
120	33072865	44	8.51966e-05
121	33167648	4	1.01704e-05
122	33475995	114	0.000214939
123	33955584	72	0.000134019
124	34252636	42	7.03109e-05
125	34453257	18	3.00292e-05
126	34588553	10	2.04443e-05
127	34774011	20	2.94786e-05
128	35034836	22	4.54004e-05
129	35041317	0	0
130	35287234	22	3.05309e-05
131	35626499	90	0.000165966
132	35924753	36	6.97733e-05
133	36304571	62	0.000105993
134	36560615	28	4.91561e-05
135	36937335	72	0.000141685
136	36965179	2	3.41791e-06
137	37055619	8	1.89931e-05
138	37244074	12	2.79478e-05
139	37501313	26	4.93571e-05
140	37778559	24	4.35234e-05
141	38124796	74	0.000137604
142	38381532	28	4.43438e-05
143	38693505	14	2.51303e-05
144	38857177	18	3.76679e-05
145	39276031	50	9.1609e-05
146	39329675	6	1.09737e-05
147	39583006	44	6.50301e-05
148	39628700	0	0
149	39852526	32	6.17571e-05
150	40126195	26	3.46518e-05
151	40374943	44	7.93908e-05
152	40554049	24	4.82043e-05
153	40791342	14	2.45335e-05
154	41113756	38	6.89044e-05
155	41230625	12	2.1226e-05
156	41618736	38	7.33407e-05
157	41977044	56	0.000102156
158	42408887	42	7.88572e-05
159	42714719	20	3.81508e-05
160	43035150	26	4.56222e-05
161	43085052	8	1.58382e-05
162	43166892	4	7.98945e-06
163	43372936	16	2.79978e-05
164	43839529	54	9.95729e-05
165	44054498	20	3.70473e-05
166	44447454	44	8.09031e-05
167	44499646	4	1.07945e-05
168	44653226	6	8.29982e-06
169	44885401	18	2.75796e-05
170	45179413	28	5.62454e-05
171	45356094	4	1.05627e-05
172	45762159	54	9.4575e-05
173	45840972	0	0
174	46239168	40	8.47982e-05
175	46320916	8	1.55415e-05
176	46743389	40	7.55196e-05
177	47031826	40	8.08704e-05
178	47429236	48	7.40756e-05
179	47606631	24	4.3493e-05
180	47631794	0	0
181	47798939	20	3.94589e-05
182	47917679	10	1.67024e-05
183	48283830	52	9.26527e-05
184	48655689	38	7.42832e-05
185	49020245	34	7.07644e-05
186	49418874	54	0.00010384
187	49802449	66	0.0001175
188	49991903	18	3.45749e-05
189	50301611	34	6.97931e-05
190	50684107	38	7.37669e-05
191	50745244	0	0
192	50997966	16	2.59947e-05
193	51004381	0	0
194	51402731	46	0.000101544
195	51694157	126	0.000241188
196	52066332	44	7.44644e-05
