EventID	nPhotons	Hits	DepositedEnergy
0	133324	24	4.05432e-05
1	490499	66	0.00010738
2	668290	22	4.76139e-05
3	1039600	28	5.60589e-05
4	1187541	6	1.05832e-05
5	1577921	22	4.5163e-05
6	1886527	44	8.64008e-05
7	2118562	20	3.63316e-05
8	2324947	18	3.5999e-05
9	2733158	70	0.000121856
10	3122034	46	9.31794e-05
11	3263484	8	1.87644e-05
12	3508076	28	5.83665e-05
13	3982569	84	0.000147096
14	4411548	68	0.000122178
15	4691749	50	0.000100957
16	5134044	120	0.000231952
17	5544155	58	0.000115183
18	5625930	10	1.9636e-05
19	5894610	26	4.81233e-05
20	6102641	24	3.81757e-05
21	6307957	40	6.45279e-05
22	6787716	38	7.49027e-05
23	7257520	52	9.89269e-05
24	7581601	38	6.73057e-05
25	7941410	44	8.88038e-05
26	8213644	30	5.45147e-05
27	8710187	70	0.000132927
28	8804668	6	1.11731e-05
29	9064515	22	4.15207e-05
30	9495039	38	7.11935e-05
31	9849726	36	6.39802e-05
32	10242045	44	9.39332e-05
33	10493252	38	6.18739e-05
34	10974498	68	0.000123464
35	11281476	36	6.61393e-05
36	11583415	24	4.21181e-05
37	11931315	28	4.8884e-05
38	12316754	40	8.1332e-05
39	12683902	36	6.5866e-05
40	13099807	32	6.15975e-05
41	13334884	46	8.05537e-05
42	13718465	40	8.26709e-05
43	13923106	18	3.42202e-05
44	14333491	44	8.45663e-05
45	14586111	24	4.1053e-05
46	14798809	18	3.43842e-05
47	15158428	32	5.17728e-05
48	15546838	52	9.99936e-05
49	15866248	46	0.000102822
50	16569893	148	0.000274014
51	17051217	42	8.00894e-05
52	17210861	16	3.45695e-05
53	17456751	30	5.23359e-05
54	17725775	50	9.81725e-05
55	17810034	6	8.2752e-06
56	18149410	42	7.89182e-05
57	18500405	42	9.57876e-05
58	18899391	46	8.85005e-05
59	19164137	30	5.20273e-05
60	19514807	44	8.97958e-05
61	19817187	44	7.14166e-05
62	20259600	46	8.19501e-05
63	20334697	6	9.98376e-06
64	20577894	36	6.84646e-05
65	20814934	18	3.56357e-05
66	21231696	62	0.00012902
67	21613071	28	5.46687e-05
68	21814402	12	2.58364e-05
69	22196404	38	6.28423e-05
70	22602257	114	0.000185734
71	22984966	56	0.000113387
72	23402754	72	0.000141859
73	23797859	30	5.99331e-05
74	24122275	38	5.99811e-05
75	24335973	26	4.61652e-05
76	24715536	46	8.89353e-05
77	24724211	0	0
78	24783110	2	1.65282e-06
79	25005557	34	6.06125e-05
80	25184786	22	3.86765e-05
81	25424907	34	6.83105e-05
82	25837800	50	0.000104061
83	25898340	6	7.89924e-06
84	26255451	40	6.91415e-05
85	26626849	28	4.70052e-05
86	26830824	28	5.53599e-05
87	27252367	50	9.73293e-05
88	27341570	8	1.92819e-05
89	27418618	2	1.30432e-06
90	27826539	42	7.16413e-05
91	28400239	40	7.76247e-05
92	28732807	44	8.48956e-05
93	28905387	18	3.7005e-05
94	28977832	0	0
95	29171678	26	3.7424e-05
96	29472938	50	0.000102632
97	29706086	26	5.58871e-05
98	29876257	16	2.68822e-05
99	29914771	2	3.1799e-06
100	30310299	46	9.48064e-05
101	30526801	26	4.53451e-05
102	30834156	48	9.93354e-05
103	31183266	76	0.000136766
104	31375450	18	3.09478e-05
105	31405366	2	3.71834e-06
106	31815128	60	0.000111398
107	31999609	6	1.03189e-05
108	32276547	74	0.00012025
109	32406871	12	2.42101e-05
110	32722066	36	5.38051e-05
111	32778416	6	1.22966e-05
112	32824048	6	1.03854e-05
113	33202037	48	8.81999e-05
114	33665069	50	0.000104965
115	33955302	28	4.99263e-05
116	34425088	76	0.000129088
117	34913740	54	0.000111233
118	35355448	30	5.78103e-05
119	35768268	32	5.94997e-05
120	36049753	26	5.0154e-05
121	36284264	54	0.00010013
122	36580815	40	5.8526e-05
123	36991427	664	0.00099312
124	37346560	28	4.6322e-05
125	37415455	2	3.64183e-06
126	37956255	42	7.51955e-05
127	38110281	16	3.12225e-05
128	38524682	44	7.82508e-05
129	38542769	0	0
130	38803648	42	7.27875e-05
131	39091827	572	0.00096593
132	39451170	54	0.000107363
133	39757773	18	3.39088e-05
134	40129309	36	6.78137e-05
135	40536339	26	4.49371e-05
136	40739629	12	2.2451e-05
137	41140871	34	6.52584e-05
138	41356806	26	3.07227e-05
139	41659605	14	3.44949e-05
140	41865538	20	4.27339e-05
141	41952592	10	2.15657e-05
142	42229971	32	6.69201e-05
143	42643357	50	8.5608e-05
144	43030103	56	0.000105664
145	43330992	28	6.99926e-05
146	43700330	46	9.80208e-05
147	43986041	34	6.03626e-05
148	44407975	26	4.73969e-05
149	44827795	46	9.07635e-05
150	45021003	20	4.42027e-05
151	45154636	4	8.89111e-06
152	45321754	20	3.69216e-05
153	45637229	40	8.29309e-05
154	45651384	0	0
155	45938885	22	3.52688e-05
156	46035619	10	2.00831e-05
157	46461743	50	9.01895e-05
158	46529126	8	2.28573e-05
159	46879346	50	0.000103177
160	47147242	24	4.55139e-05
161	47399473	22	4.12298e-05
162	47885154	64	0.00011055
163	48080209	16	2.81716e-05
164	48271629	24	4.45559e-05
165	48525576	24	4.81934e-05
166	48780887	14	2.35608e-05
167	49075845	34	6.26992e-05
168	49413576	16	2.37655e-05
169	49419297	4	7.14249e-06
170	49648644	36	7.97439e-05
171	50010868	38	7.49693e-05
172	50325762	36	7.89682e-05
173	50512774	6	5.3773e-06
174	50809481	28	5.38817e-05
175	51135359	22	3.89517e-05
176	51141666	0	0
177	51447123	38	6.67495e-05
178	51880522	44	9.10805e-05
179	52252577	40	8.68048e-05
180	52635015	36	5.97359e-05
181	52785163	14	2.14937e-05
182	53100447	30	5.33008e-05
183	53267124	16	2.88108e-05
184	53500435	18	3.55714e-05
185	53841104	66	0.000135214
186	53906643	4	5.52284e-06
187	54129821	6	1.32571e-05
188	54280971	6	1.11111e-05
189	54677438	48	0.000106716
190	54956050	36	6.49307e-05
191	55346209	36	5.03602e-05
192	55735259	36	6.37596e-05
193	55939483	26	4.14389e-05
194	56323297	44	7.96975e-05
195	56576104	22	3.28507e-05
196	56796377	22	5.6584e-05
197	57138595	98	0.00016907
198	57334754	24	4.62451e-05
199	57440300	18	3.2707e-05
200	57550876	10	1.51514e-05
201	57948139	22	3.58852e-05
202	58200378	18	4.39803e-05
203	58304240	12	2.26354e-05
204	58590283	30	6.65881e-05
205	58968889	44	7.30015e-05
206	59345231	30	5.69925e-05
207	59763198	40	8.18121e-05
208	60044240	18	3.81741e-05
209	60522958	60	0.000103678
210	60891469	26	5.84233e-05
211	61210026	30	5.72528e-05
212	61376026	24	3.80907e-05
213	61702396	44	7.11153e-05
214	62145789	28	5.71318e-05
215	62345272	14	2.79072e-05
216	62686974	138	0.000237268
217	63046780	30	6.00589e-05
218	63144376	10	2.04046e-05
219	63591607	30	5.22721e-05
220	63817516	32	5.08601e-05
221	64140203	28	5.26326e-05
222	64636019	60	0.000101528
223	65025244	48	9.43641e-05
224	65312252	38	7.18205e-05
225	65649248	32	6.11081e-05
226	65721504	6	6.75311e-06
227	66021192	122	0.000252219
228	66293185	48	0.000106134
229	66510327	18	3.49931e-05
230	66795412	22	4.3571e-05
231	67093993	216	0.000373373
232	67522956	38	7.65536e-05
233	67973180	46	8.82771e-05
234	68276102	42	7.67336e-05
235	68604222	36	6.49565e-05
236	69025628	42	9.3514e-05
237	69077937	8	1.15095e-05
238	69529066	54	9.75386e-05
239	69728991	18	3.5489e-05
240	69936672	14	2.73319e-05
241	70321989	34	6.41088e-05
242	70816634	100	0.000189563
243	71027815	12	2.01822e-05
244	71054475	1002	0.00123711
245	71100304	8	1.53604e-05
246	71574267	32	5.45869e-05
247	71879164	32	5.73215e-05
248	72032091	16	2.3048e-05
249	72225389	22	4.40166e-05
250	72680616	46	7.91009e-05
251	72690897	2	2.94469e-06
252	72946602	24	4.90881e-05
253	73059518	16	3.12586e-05
254	73191077	6	1.11378e-05
255	73219721	1002	0.00184079
256	73242643	2	2.70293e-06
257	73667326	30	5.52783e-05
258	74098847	40	7.53147e-05
259	74299763	22	4.5669e-05
260	74528353	34	6.64342e-05
261	74892586	46	7.94745e-05
262	74986375	6	1.73025e-05
263	75391515	60	0.000103369
264	75508491	8	1.00977e-05
265	75978573	36	6.32775e-05
266	76490907	166	0.000283399
267	76732883	6	5.6725e-06
268	77225379	60	0.000104932
269	77600570	24	4.80605e-05
270	77767051	24	5.72927e-05
271	78008659	42	8.4647e-05
272	78198940	14	2.14643e-05
273	78389320	12	2.43211e-05
274	78848450	48	0.000102039
275	79288161	38	7.01541e-05
276	79337155	6	1.17169e-05
277	79382569	4	2.57923e-06
278	79599054	16	3.05235e-05
279	79963172	72	0.000132371
280	80113507	12	1.85177e-05
281	80518897	30	6.70697e-05
282	80779708	24	3.91566e-05
283	81162346	42	8.50706e-05
284	81551069	42	9.2572e-05
285	81693440	8	1.17927e-05
286	81885781	6	1.47837e-05
287	82021892	16	2.86692e-05
288	82414977	60	0.000111304
289	82454015	4	1.12203e-05
290	82946272	78	0.000136974
291	83197726	16	2.22468e-05
292	83620635	56	0.000121233
293	83727320	14	3.07093e-05
294	84088040	66	0.000118721
295	84492510	66	0.000130148
296	84689303	18	3.91606e-05
297	85068914	52	8.8329e-05
298	85482992	50	9.84226e-05
299	85754215	20	3.7895e-05
300	86144322	40	7.88516e-05
301	86514935	88	0.000157001
302	86913904	48	0.000106266
303	87224325	30	3.956e-05
304	87600988	62	0.000112762
305	88087310	54	9.64873e-05
306	88434992	56	9.95373e-05
307	88446421	4	3.89816e-06
308	88692535	36	7.02882e-05
309	89133650	52	9.85122e-05
310	89386923	24	4.5904e-05
311	89456003	0	0
312	89638036	8	1.54676e-05
313	89656497	0	0
314	89762388	6	1.31406e-05
315	90229731	62	0.000113558
316	90413156	10	2.28382e-05
317	90626167	16	3.17968e-05
318	90907311	40	8.61172e-05
319	90935157	1002	0.00154928
320	91309242	42	8.23089e-05
321	91562952	34	5.86108e-05
322	91763048	18	3.56431e-05
323	92203668	46	9.3742e-05
324	92460594	34	5.63726e-05
325	92841334	46	9.54738e-05
326	93047233	32	6.0921e-05
327	93351255	40	7.56397e-05
328	93666877	42	8.05861e-05
329	93742884	6	1.25758e-05
330	94274514	48	8.67933e-05
331	94397122	14	3.25132e-05
332	94721930	20	4.0353e-05
333	94900341	6	1.21263e-05
334	94998908	6	1.57327e-05
335	95373487	26	5.37761e-05
336	95642250	20	4.93823e-05
337	95720186	18	4.43469e-05
338	95969269	24	3.95166e-05
339	96251118	22	4.61418e-05
340	96274708	0	0
341	96473973	16	2.92343e-05
342	96693430	28	5.48099e-05
343	97270996	52	9.84274e-05
344	97533503	28	5.73813e-05
345	97605769	12	2.6442e-05
346	97810259	18	4.04969e-05
347	98002934	24	5.52856e-05
348	98096717	8	1.52033e-05
349	98227974	18	3.96293e-05
350	98431041	16	2.53604e-05
351	98678890	22	3.95727e-05
352	98854404	24	4.63513e-05
353	99461501	82	0.000137751
354	99813403	52	0.000109779
355	100244297	40	7.72117e-05
356	100667835	64	0.000113543
357	100796388	20	4.1081e-05
358	101209625	50	9.03534e-05
359	101429919	14	2.3089e-05
360	101690930	44	8.66628e-05
361	101794074	10	1.99094e-05
362	102205475	60	0.000108905
363	102553597	40	7.62779e-05
364	102826745	30	5.23113e-05
365	103073960	24	3.75968e-05
366	103106821	0	0
367	103508788	36	7.64748e-05
368	103716995	20	3.03551e-05
369	104091477	44	8.06944e-05
370	104315015	18	3.78202e-05
371	104459182	26	4.73284e-05
372	104461606	0	0
373	104490620	4	6.19232e-06
374	104719932	20	3.71021e-05
375	104971864	22	3.77102e-05
376	105375273	44	8.11304e-05
377	105382280	0	0
378	105831985	36	6.51835e-05
379	106130058	28	5.4394e-05
380	106742534	74	0.000129396
381	107152544	66	0.000124987
382	107399249	36	7.81326e-05
383	107809612	46	9.22729e-05
384	108104396	44	7.81461e-05
385	108333095	22	4.21337e-05
386	108757431	50	0.000101155
387	108953517	12	2.02599e-05
388	109105216	20	3.6875e-05
389	109527189	30	5.64123e-05
390	109938745	50	9.12288e-05
391	110231073	26	4.39848e-05
392	110299606	0	0
393	110734428	54	0.000102709
394	111135519	46	9.65055e-05
395	111150132	0	0
396	111317977	8	1.74879e-05
397	111478486	16	3.32513e-05
398	111692234	14	3.26524e-05
399	111956865	10	1.52651e-05
400	112430815	32	5.54536e-05
401	113022952	108	0.000198487
402	113437091	48	0.000103281
403	113645334	42	9.11176e-05
404	113830928	18	2.94088e-05
405	114202409	38	7.56652e-05
406	114380720	28	4.95472e-05
407	114662898	24	4.8809e-05
408	115101162	42	7.23171e-05
409	115267440	20	2.89348e-05
410	115441905	22	4.25186e-05
411	115704648	36	5.75716e-05
412	116086052	32	5.44382e-05
413	116266055	26	5.1804e-05
414	116590391	24	4.44193e-05
415	116974108	38	6.62914e-05
416	116981722	2	6.1339e-06
417	117169696	22	3.66478e-05
418	117637838	40	7.2123e-05
419	117754876	14	2.54243e-05
420	117985339	20	3.81947e-05
421	118388138	38	7.40219e-05
422	118408220	2	6.14317e-06
423	118412920	0	0
424	118627992	24	4.64168e-05
425	118636824	0	0
426	118643326	0	0
427	118998846	48	9.35966e-05
428	119395733	44	8.33777e-05
429	119806510	64	0.000118775
430	120198246	90	0.000196482
431	120428312	22	5.19943e-05
432	120747643	30	4.68612e-05
433	121114390	20	3.4979e-05
434	121144249	2	6.13034e-06
435	121616467	30	5.4978e-05
436	121886865	22	4.52982e-05
437	122333621	70	0.000139113
438	122520678	46	8.9835e-05
439	122683644	14	2.30572e-05
440	122764227	10	1.58875e-05
441	122989998	24	4.70902e-05
442	123016650	0	0
443	123480034	38	7.30435e-05
444	123645953	10	2.26031e-05
445	123921387	36	6.63043e-05
446	124405667	42	7.51811e-05
447	124649365	36	7.68726e-05
448	124776977	10	1.90842e-05
449	125003624	36	5.97535e-05
450	125207312	26	4.69007e-05
451	125367270	20	3.20234e-05
452	125825924	136	0.000238308
453	125957312	14	2.62132e-05
454	126242966	42	7.56544e-05
455	126342239	4	7.35402e-06
456	126511846	12	1.94855e-05
457	126632217	16	3.40498e-05
458	127026521	34	6.30578e-05
459	127219909	10	1.41516e-05
460	127438007	24	4.8248e-05
461	127684587	44	8.88038e-05
462	127724439	4	9.66816e-06
463	128110384	48	8.43893e-05
464	128252912	20	2.98359e-05
465	128606310	36	5.72923e-05
466	128657097	2	4.82676e-06
467	128852975	10	2.15844e-05
468	129149252	30	5.57326e-05
469	129427667	22	4.09434e-05
470	129865929	44	8.60657e-05
471	130306688	54	9.24043e-05
472	130730717	108	0.00019294
473	130896933	14	3.10152e-05
474	131162515	32	5.91257e-05
475	131598749	40	7.78743e-05
