EventID	nPhotons	Hits	DepositedEnergy
0	319329	22	4.38917e-05
1	725631	186	0.000262003
2	934624	12	1.96979e-05
3	1332422	264	0.00040558
4	1711723	26	6.20656e-05
5	1942656	28	5.5816e-05
6	2226461	32	4.80875e-05
7	2576185	34	5.21424e-05
8	3054698	50	9.54372e-05
9	3454540	52	0.000111337
10	3706116	26	5.03342e-05
11	4080605	38	6.7975e-05
12	4091081	0	0
13	4371736	32	5.82999e-05
14	4612548	42	7.6834e-05
15	4785359	20	2.92722e-05
16	5153595	74	0.000123617
17	5295477	14	2.16578e-05
18	5401357	6	1.50684e-05
19	5599524	16	3.41783e-05
20	5857979	24	4.36904e-05
21	6034332	14	2.17778e-05
22	6245071	18	3.79602e-05
23	6672497	42	7.28445e-05
24	6926982	24	4.80124e-05
25	7015161	6	8.38863e-06
26	7419666	44	8.59743e-05
27	7833987	38	6.79585e-05
28	7922173	4	8.93708e-06
29	8345014	40	6.48984e-05
30	8731455	70	0.000129594
31	8886880	12	2.05518e-05
32	9165017	24	5.45344e-05
33	9323851	12	2.50712e-05
34	9703834	34	5.61496e-05
35	9923177	26	4.21996e-05
36	9989802	0	0
37	10387489	32	6.41547e-05
38	10798265	40	8.31709e-05
39	11162890	36	6.29552e-05
40	11472613	64	0.000102271
41	11912379	46	8.42163e-05
42	12300495	42	8.05943e-05
43	12524827	8	1.51584e-05
44	12927696	24	4.47085e-05
45	13165687	14	2.74585e-05
46	13550380	38	6.64832e-05
47	13625275	10	2.23475e-05
48	14019624	56	9.88389e-05
49	14055156	0	0
50	14417666	80	0.000148937
51	14743358	32	6.42028e-05
52	15218474	58	0.000104409
53	15362367	16	3.20498e-05
54	15663004	26	4.25323e-05
55	15706418	8	1.49219e-05
56	16129463	46	8.21982e-05
57	16527919	40	7.15744e-05
58	16937412	40	7.3954e-05
59	17311930	44	8.99043e-05
60	17420399	12	2.7852e-05
61	17474537	4	8.58331e-06
62	17881386	60	0.000109407
63	18098253	28	4.6425e-05
64	18300253	20	3.15033e-05
65	18328166	1002	0.00186287
66	18638264	26	4.98197e-05
67	19092773	58	0.000107015
68	19330291	34	6.09399e-05
69	19768093	38	6.86462e-05
70	20177365	66	0.000102578
71	20560431	42	8.40579e-05
72	20972587	54	0.00010073
73	21057472	6	8.32787e-06
74	21294285	12	2.33387e-05
75	21781367	56	0.000126367
76	21810758	1002	0.00107375
77	21823016	2	5.5344e-06
78	22272841	34	5.54985e-05
79	22364069	10	2.09823e-05
80	22771926	40	7.92588e-05
81	22831555	2	3.20641e-06
82	22939629	2	4.43646e-06
83	23235816	32	5.49844e-05
84	23344496	6	1.54283e-05
85	23396740	6	7.59351e-06
86	23509016	14	3.10512e-05
87	23831281	28	4.36476e-05
88	24004859	26	4.34175e-05
89	24253591	28	4.30707e-05
90	24537500	34	5.44761e-05
91	25029411	66	0.00012153
